Doctor_Name,Specialization,Experience,Locality,City,Hospital_Name,Consultation_Fee,Recommendation,Working_Hours,Timing_Category,Time_Duration
Dr. Vandana Hegde,Infertility Specialist,23 years experience overall,"Madhapur,",Hyderabad,Hegde Hospital,₹800,93%,11:00 AM - 7:00 PM,Morning,8.0
Dr. B C Mounica,Gynecologist/Obstetrician,10 years experience overall,"Madhapur,",Hyderabad,Hegde Hospital,₹600,,10:00 AM - 8:00 PM,Morning,10.0
Dr. Jasmine Ramesh Salkar,Gynecologist/Obstetrician,23 years experience overall,"Madhapur,",Hyderabad,Hegde Hospital,₹800,95%,24x7,24x7,24.0
Dr. Soumya H R,Reproductive Endocrinologist (Infertility),8 years experience overall,"Madhapur,",Hyderabad,Hegde Hospital,₹600,,8:00 AM - 4:00 PM,Morning,8.0
Dr. Akshita Agarwal,Gynecologist/Obstetrician,9 years experience overall,"Madhapur,",Hyderabad,Hegde Hospital,₹600,100%,10:00 AM - 8:00 PM,Morning,10.0
Dr. Prashant Hegde,General Surgeon,25 years experience overall,"Madhapur,",Hyderabad,Hegde Hospital,₹750,96%,24x7,24x7,24.0
Dr. Addala Pavan Kumar,Oncologist,19 years experience overall,"Madhapur,",Hyderabad,Hegde Hospital,₹800,,11:00 AM - 7:00 PM,Morning,8.0
Ms. Sreevani Y,Acupressure,6 years experience overall,"Madhapur,",Hyderabad,Hegde Hospital,₹500,100%,10:00 AM - 8:00 PM,Morning,10.0
Ms. Jyoshna Diwan,Acupuncturist,3 years experience overall,"Madhapur,",Hyderabad,Hegde Hospital,₹500,100%,8:00 AM - 4:00 PM,Morning,8.0
Dr. S Chandana,Pediatrician,12 years experience overall,"Kukatpally,",Hyderabad,Vignesh Nursing Home,₹500,100%,10:00 AM - 8:00 PM,Morning,10.0
Dr. Balajiprasad,General Physician,33 years experience overall,"Kukatpally,",Hyderabad,Vignesh Nursing Home,₹500,67%,9:00 AM - 6:00 PM,Morning,9.0
Dr. K. Ravindranath,General Physician,23 years experience overall,"Kukatpally,",Hyderabad,Vignesh Nursing Home,₹500,60%,11:00 AM - 7:00 PM,Morning,8.0
Dr. Rama Sanjay Y,Urologist,35 years experience overall,"Kukatpally,",Hyderabad,Vignesh Nursing Home,₹500,75%,10:00 AM - 8:00 PM,Morning,10.0
Dr. Raja Rajeswari,Gynecologist/Obstetrician,47 years experience overall,"Kukatpally,",Hyderabad,Vignesh Nursing Home,₹500,90%,10:00 AM - 8:00 PM,Morning,10.0
Dr. R Kartheek,Orthopedist,16 years experience overall,"Kukatpally,",Hyderabad,Vignesh Nursing Home,Free Consultation,90%,8:00 AM - 4:00 PM,Morning,8.0
Dr. P.J. Vidya Sagar Rao,General Surgeon,26 years experience overall,"Kukatpally,",Hyderabad,Vignesh Nursing Home,₹500,,24x7,24x7,24.0
Dr. Sruhya Madireddy,Gynecologist/Obstetrician,12 years experience overall,"Kukatpally,",Hyderabad,Vignesh Nursing Home,₹600,,24x7,24x7,24.0
Dr. Karanam Madhuri,General Physician,7 years experience overall,"Medchal,",Hyderabad,Sankhya Hospitals,₹300,,24x7,24x7,24.0
Dr. Maitrayee Chennu,Gynecologist/Obstetrician,9 years experience overall,"Medchal,",Hyderabad,Sankhya Hospitals,₹300,100%,11:00 AM - 7:00 PM,Morning,8.0
Dr. Kallepalli Divya,Ear-Nose-Throat (ENT) Specialist,6 years experience overall,"Medchal,",Hyderabad,Sankhya Hospitals,₹300,33%,11:00 AM - 7:00 PM,Morning,8.0
Dr. Suchithra Lakshmi Gadepalli,General Surgeon,13 years experience overall,"Medchal,",Hyderabad,Sankhya Hospitals,₹300,100%,10:00 AM - 8:00 PM,Morning,10.0
Dr. Deepti V,Pediatrician,16 years experience overall,"Medchal,",Hyderabad,Sankhya Hospitals,₹300,33%,9:00 AM - 6:00 PM,Morning,9.0
Dr. Rangu Aswini,Orthopedist,6 years experience overall,"Medchal,",Hyderabad,Sankhya Hospitals,₹300,,24x7,24x7,24.0
Dr. Jaichitra Suresh,General Physician,33 years experience overall,"Vadapalani,",Chennai,SIMS Hospital,₹1000,100%,10:00 AM - 8:00 PM,Morning,10.0
Dr. R Sundararaman,General Physician,42 years experience overall,"Vadapalani,",Chennai,SIMS Hospital,₹700,86%,8:00 AM - 4:00 PM,Morning,8.0
Dr. K Thiruppathi,General Physician,20 years experience overall,"Vadapalani,",Chennai,SIMS Hospital,₹600,88%,8:00 AM - 4:00 PM,Morning,8.0
Dr. Suresh Kumar D,Infectious Diseases Physician,29 years experience overall,"Vadapalani,",Chennai,SIMS Hospital,₹1000,67%,10:00 AM - 8:00 PM,Morning,10.0
Dr. Rina K,General Physician,20 years experience overall,"Vadapalani,",Chennai,SIMS Hospital,₹1000,,24x7,24x7,24.0
Dr. Nishanth Sampath,General Physician,14 years experience overall,"Vadapalani,",Chennai,SIMS Hospital,₹1000,,24x7,24x7,24.0
Dr. Rithesh R Nair,Neurologist,28 years experience overall,"Vadapalani,",Chennai,SIMS Hospital,₹800,100%,8:00 AM - 4:00 PM,Morning,8.0
Dr. Mithun Prasad.V,Psychiatrist,13 years experience overall,"Vadapalani,",Chennai,SIMS Hospital,₹1000,96%,9:00 AM - 6:00 PM,Morning,9.0
Dr. Prasad G N,Cardiologist,36 years experience overall,"Vadapalani,",Chennai,SIMS Hospital,₹1000,100%,8:00 AM - 4:00 PM,Morning,8.0
Dr. M Ram Prabahar,Nephrologist,23 years experience overall,"Vadapalani,",Chennai,SIMS Hospital,₹800,100%,8:00 AM - 4:00 PM,Morning,8.0
Dr. T V Ashokan,Psychiatrist,45 years experience overall,"Tondiarpet,",Chennai,Apollo Hospital,₹400,63%,11:00 AM - 7:00 PM,Morning,8.0
Dr. Kirupanandam G,Ear-Nose-Throat (ENT) Specialist,44 years experience overall,"Tondiarpet,",Chennai,Apollo Hospital,₹500,75%,10:00 AM - 8:00 PM,Morning,10.0
Dr. Kanakarajan P,General Practitioner,62 years experience overall,"Tondiarpet,",Chennai,Apollo Hospital,₹400,,8:00 AM - 4:00 PM,Morning,8.0
Dr. Hariprasath J,General Physician,27 years experience overall,"Tondiarpet,",Chennai,Apollo Hospital,₹800,90%,10:00 AM - 8:00 PM,Morning,10.0
Dr. Ramamurthee Kannaiyan,General Practitioner,33 years experience overall,"Tondiarpet,",Chennai,Apollo Hospital,₹700,,8:00 AM - 4:00 PM,Morning,8.0
Dr. R M Boopathi,General Physician,48 years experience overall,"Tondiarpet,",Chennai,Apollo Hospital,₹1000,100%,24x7,24x7,24.0
Dr. Anand Gnanaraj,Cardiologist,34 years experience overall,"Tondiarpet,",Chennai,Apollo Hospital,₹1000,80%,24x7,24x7,24.0
Dr. Ekambaranath Thalla Sambasivam,General Physician,28 years experience overall,"Tondiarpet,",Chennai,Apollo Hospital,₹500,,10:00 AM - 8:00 PM,Morning,10.0
Dr. Dhilip Kumar T,Orthopedist,34 years experience overall,"Tondiarpet,",Chennai,Apollo Hospital,₹500,100%,11:00 AM - 7:00 PM,Morning,8.0
Dr. Asha Mahilmaran,Cardiologist,36 years experience overall,"Tondiarpet,",Chennai,Apollo Hospital,₹1500,100%,9:00 AM - 6:00 PM,Morning,9.0
Dr. Srikanth Thunga,General Physician,37 years experience overall,"Kilpauk,",Chennai,New Hope Medical Centre,₹500,100%,8:00 AM - 4:00 PM,Morning,8.0
Dr. Dhana Priya,Nephrologist,23 years experience overall,"Kilpauk,",Chennai,New Hope Medical Centre,₹600,100%,9:00 AM - 6:00 PM,Morning,9.0
Dr. C U Velmurugendran,Neurologist,63 years experience overall,"Kilpauk,",Chennai,New Hope Medical Centre,₹1100,100%,10:00 AM - 8:00 PM,Morning,10.0
Dr. B. Manohar Rama Rao,General Surgeon,54 years experience overall,"Kilpauk,",Chennai,New Hope Medical Centre,₹600,100%,10:00 AM - 8:00 PM,Morning,10.0
Dr. Amilthan,Laparoscopic Surgeon,17 years experience overall,"Kilpauk,",Chennai,New Hope Medical Centre,₹500,98%,24x7,24x7,24.0
Dr. F.Fakhruddin,Orthopedist,23 years experience overall,"Kilpauk,",Chennai,New Hope Medical Centre,₹500,100%,11:00 AM - 7:00 PM,Morning,8.0
Dr. M Prakash,Ear-Nose-Throat (ENT) Specialist,23 years experience overall,"Kilpauk,",Chennai,New Hope Medical Centre,₹1500,100%,8:00 AM - 4:00 PM,Morning,8.0
Dr. V. Ramadevi,Plastic Surgeon,39 years experience overall,"Kilpauk,",Chennai,New Hope Medical Centre,₹600,100%,24x7,24x7,24.0
Dr. Leonard Ponraj,Orthopedist,41 years experience overall,"Kilpauk,",Chennai,New Hope Medical Centre,₹500,100%,10:00 AM - 8:00 PM,Morning,10.0
Dr. S Tharani Kumar,Dentist,11 years experience overall,"Kilpauk,",Chennai,New Hope Medical Centre,₹500,100%,9:00 AM - 6:00 PM,Morning,9.0
Dr. Masilla Mallika Chelliah,General Physician,46 years experience overall,"Kilpauk,",Chennai,Apollo First Med Hospitals,₹700,100%,8:00 AM - 4:00 PM,Morning,8.0
Dr. Hariprasath J,General Physician,27 years experience overall,"Kilpauk,",Chennai,Apollo First Med Hospitals,₹800,90%,9:00 AM - 6:00 PM,Morning,9.0
Dr. Vijayalakshmi Balakrishnan,General Physician,25 years experience overall,"Kilpauk,",Chennai,Apollo First Med Hospitals,₹1000,93%,24x7,24x7,24.0
Dr. Vidyasagaran T,Vascular Surgeon,45 years experience overall,"Kilpauk,",Chennai,Apollo First Med Hospitals,₹500,100%,9:00 AM - 6:00 PM,Morning,9.0
Dr. R M Boopathi,General Physician,48 years experience overall,"Kilpauk,",Chennai,Apollo First Med Hospitals,₹1000,100%,10:00 AM - 8:00 PM,Morning,10.0
Dr. Deepesh Venkatraman,Cardiologist,20 years experience overall,"Kilpauk,",Chennai,Apollo First Med Hospitals,₹1000,100%,10:00 AM - 8:00 PM,Morning,10.0
Dr. Ravi G R,General Physician,29 years experience overall,"Kilpauk,",Chennai,Apollo First Med Hospitals,₹500,,8:00 AM - 4:00 PM,Morning,8.0
Dr. Shyamala Gopi,General Physician,34 years experience overall,"Kilpauk,",Chennai,Apollo First Med Hospitals,₹700,50%,10:00 AM - 8:00 PM,Morning,10.0
Dr. Vaidyanathan Doraiswamy,General Physician,58 years experience overall,"Kilpauk,",Chennai,Apollo First Med Hospitals,₹2000,,11:00 AM - 7:00 PM,Morning,8.0
Dr. Devarajan T V,Internal Medicine,55 years experience overall,"Kilpauk,",Chennai,Apollo First Med Hospitals,₹1500,100%,24x7,24x7,24.0
Dr. Sowmya Prashanth,Pediatrician,27 years experience overall,"Jayanagar 5 Block,",Bangalore,Apollo Cradle & Children’s Hospital,₹900,97%,8:00 AM - 4:00 PM,Morning,8.0
Dr. Meenakshi R Kamath,Gynecologist/Obstetrician,36 years experience overall,"Jayanagar 5 Block,",Bangalore,Apollo Cradle & Children’s Hospital,₹900,94%,11:00 AM - 7:00 PM,Morning,8.0
Dr. Shilpa Apte,Gynecologist/Obstetrician,26 years experience overall,"Jayanagar 5 Block,",Bangalore,Apollo Cradle & Children’s Hospital,₹900,85%,9:00 AM - 6:00 PM,Morning,9.0
Dr. Phani Madhuri,Gynecologist/Obstetrician,23 years experience overall,"Jayanagar 5 Block,",Bangalore,Apollo Cradle & Children’s Hospital,₹900,94%,10:00 AM - 8:00 PM,Morning,10.0
Dr. Padmasri V,Gynecologist/Obstetrician,31 years experience overall,"Jayanagar 5 Block,",Bangalore,Apollo Cradle & Children’s Hospital,₹800,91%,9:00 AM - 6:00 PM,Morning,9.0
Dr. Shashikala Hande,Gynecologist/Obstetrician,33 years experience overall,"Jayanagar 5 Block,",Bangalore,Apollo Cradle & Children’s Hospital,₹900,95%,9:00 AM - 6:00 PM,Morning,9.0
Dr. Ravi Kyadegeri,Pediatrician,18 years experience overall,"Jayanagar 5 Block,",Bangalore,Apollo Cradle & Children’s Hospital,₹900,100%,9:00 AM - 6:00 PM,Morning,9.0
Dr. Poornima Ramakrishna,Gynecologist/Obstetrician,26 years experience overall,"Jayanagar 5 Block,",Bangalore,Apollo Cradle & Children’s Hospital,₹900,95%,10:00 AM - 8:00 PM,Morning,10.0
Dr. Joshitha Naik,Gynecologist/Obstetrician,25 years experience overall,"Jayanagar 5 Block,",Bangalore,Apollo Cradle & Children’s Hospital,₹900,86%,24x7,24x7,24.0
Dr. Santosh N,Paediatric Intensivist,32 years experience overall,"Jayanagar 5 Block,",Bangalore,Apollo Cradle & Children’s Hospital,₹900,98%,24x7,24x7,24.0
Dr. M Hema,Rheumatologist,25 years experience overall,"Manapakkam,",Chennai,MIOT International Hospital,₹800,76%,8:00 AM - 4:00 PM,Morning,8.0
Dr. Hema Nandini Mangalanathan,General Physician,37 years experience overall,"Manapakkam,",Chennai,MIOT International Hospital,Free Consultation,,10:00 AM - 8:00 PM,Morning,10.0
Dr. Mohamed Mansoor Iqbal,General Physician,16 years experience overall,"Manapakkam,",Chennai,MIOT International Hospital,₹800,100%,8:00 AM - 4:00 PM,Morning,8.0
Dr. Grace Swarnapriya Gnanakumar,General Physician,25 years experience overall,"Manapakkam,",Chennai,MIOT International Hospital,₹800,,8:00 AM - 4:00 PM,Morning,8.0
Dr. T Yashwanth Raj,Nephrologist,13 years experience overall,"Manapakkam,",Chennai,MIOT International Hospital,₹800,100%,10:00 AM - 8:00 PM,Morning,10.0
Dr. S. Palaniappan,Gastroenterologist,36 years experience overall,"Manapakkam,",Chennai,MIOT International Hospital,₹800,89%,24x7,24x7,24.0
Dr. Surendran R.,GastroIntestinal Surgeon,50 years experience overall,"Manapakkam,",Chennai,MIOT International Hospital,₹800,100%,10:00 AM - 8:00 PM,Morning,10.0
Dr. Chezhian Subash,Hematologist,30 years experience overall,"Manapakkam,",Chennai,MIOT International Hospital,₹800,100%,9:00 AM - 6:00 PM,Morning,9.0
Dr. Prof. A Murali,Gastroenterologist,43 years experience overall,"Manapakkam,",Chennai,MIOT International Hospital,₹800,100%,24x7,24x7,24.0
Dr. M Ragavan,Pediatric Surgeon,26 years experience overall,"Manapakkam,",Chennai,MIOT International Hospital,₹800,100%,11:00 AM - 7:00 PM,Morning,8.0
Dr. T K Shanmugaraj,General Physician,34 years experience overall,"Vanagaram,",Chennai,Apollo Speciality Hospital,₹1000,67%,24x7,24x7,24.0
Dr. Darwin P,General Physician,46 years experience overall,"Vanagaram,",Chennai,Apollo Speciality Hospital,₹1000,,9:00 AM - 6:00 PM,Morning,9.0
Dr. Muralidharan K V,General Physician,39 years experience overall,"Vanagaram,",Chennai,Apollo Speciality Hospital,₹800,,11:00 AM - 7:00 PM,Morning,8.0
Dr. Krishnamoorthy S,General Physician,35 years experience overall,"Vanagaram,",Chennai,Apollo Speciality Hospital,₹1000,,8:00 AM - 4:00 PM,Morning,8.0
Dr. Raju P S N,Anesthesiologist,41 years experience overall,"Vanagaram,",Chennai,Apollo Speciality Hospital,₹1000,,8:00 AM - 4:00 PM,Morning,8.0
Dr. Karthik Madesh,Ear-Nose-Throat (ENT) Specialist,22 years experience overall,"Vanagaram,",Chennai,Apollo Speciality Hospital,₹1000,,9:00 AM - 6:00 PM,Morning,9.0
Dr. Sridevi Anantharaman,General Physician,26 years experience overall,"Vanagaram,",Chennai,Apollo Speciality Hospital,₹1000,100%,11:00 AM - 7:00 PM,Morning,8.0
Dr. Deepesh Venkatraman,Cardiologist,20 years experience overall,"Vanagaram,",Chennai,Apollo Speciality Hospital,₹1000,100%,10:00 AM - 8:00 PM,Morning,10.0
Dr. Anand Gnanaraj,Cardiologist,34 years experience overall,"Vanagaram,",Chennai,Apollo Speciality Hospital,₹1000,80%,8:00 AM - 4:00 PM,Morning,8.0
Dr. Jayashree Krishnan,General Physician,35 years experience overall,"Vanagaram,",Chennai,Apollo Speciality Hospital,₹800,60%,24x7,24x7,24.0
Dr. Neranjana.P,Infertility Specialist,19 years experience overall,"T Nagar,",Chennai,Cloudnine Hospital,₹850,83%,9:00 AM - 6:00 PM,Morning,9.0
Dr. E Pavithra Balaji,Gynecologist/Obstetrician,15 years experience overall,"T Nagar,",Chennai,Cloudnine Hospital,₹850,99%,8:00 AM - 4:00 PM,Morning,8.0
Dr. Nazira Sadique,Gynecologist/Obstetrician,41 years experience overall,"T Nagar,",Chennai,Cloudnine Hospital,₹850,97%,10:00 AM - 8:00 PM,Morning,10.0
Dr. Joni Patricia James,Gynecologist/Obstetrician,20 years experience overall,"T Nagar,",Chennai,Cloudnine Hospital,₹850,100%,10:00 AM - 8:00 PM,Morning,10.0
Dr. Vidya S,Gynecologist/Obstetrician,27 years experience overall,"T Nagar,",Chennai,Cloudnine Hospital,₹850,,24x7,24x7,24.0
Dr. Sudha Balasigamani,Gynecologist/Obstetrician,33 years experience overall,"T Nagar,",Chennai,Cloudnine Hospital,Free Consultation,100%,24x7,24x7,24.0
Dr. K. Uma,Gynecologist/Obstetrician,38 years experience overall,"T Nagar,",Chennai,Cloudnine Hospital,₹850,98%,10:00 AM - 8:00 PM,Morning,10.0
Dr. Malar K T,Gynecologist/Obstetrician,24 years experience overall,"T Nagar,",Chennai,Cloudnine Hospital,Free Consultation,100%,10:00 AM - 8:00 PM,Morning,10.0
Dr. Vignesh Kumar,Pediatrician,8 years experience overall,"T Nagar,",Chennai,Cloudnine Hospital,₹850,,8:00 AM - 4:00 PM,Morning,8.0
Dr. Kavita Murkey,Gynecologist/Obstetrician,27 years experience overall,"T Nagar,",Chennai,Cloudnine Hospital,₹850,,9:00 AM - 6:00 PM,Morning,9.0
Dr. Sivagnanam Nallaperumal,General Physician,33 years experience overall,"Alwarpet,",Chennai,Motherhood Hospital,₹600,,9:00 AM - 6:00 PM,Morning,9.0
Dr. Premalatha Balachandran,Gynecologist/Obstetrician,28 years experience overall,"Alwarpet,",Chennai,Motherhood Hospital,₹600,100%,9:00 AM - 6:00 PM,Morning,9.0
Dr. Anitha Parthasarathy,Gynecologist/Obstetrician,32 years experience overall,"Alwarpet,",Chennai,Motherhood Hospital,₹1500,100%,24x7,24x7,24.0
Dr. Sultana Naseema Banu N,Gynecologist/Obstetrician,22 years experience overall,"Alwarpet,",Chennai,Motherhood Hospital,₹600,100%,11:00 AM - 7:00 PM,Morning,8.0
Dr. Amudha Hari,Gynecologist/Obstetrician,39 years experience overall,"Alwarpet,",Chennai,Motherhood Hospital,₹600,86%,10:00 AM - 8:00 PM,Morning,10.0
Dr. Deepa Thiagarajamurthy,Gynecologist/Obstetrician,33 years experience overall,"Alwarpet,",Chennai,Motherhood Hospital,₹600,97%,9:00 AM - 6:00 PM,Morning,9.0
Dr. Meenakshi Balasubramanian,Gynecologist/Obstetrician,20 years experience overall,"Alwarpet,",Chennai,Motherhood Hospital,₹600,97%,24x7,24x7,24.0
Dr. Meenakshi,Pediatrician,26 years experience overall,"Alwarpet,",Chennai,Motherhood Hospital,₹800,100%,9:00 AM - 6:00 PM,Morning,9.0
Dr. Abinaya Maathuri J,Gynecologist/Obstetrician,12 years experience overall,"Alwarpet,",Chennai,Motherhood Hospital,₹600,,9:00 AM - 6:00 PM,Morning,9.0
Dr. Kavya Krishna Kumar,Gynecologist/Obstetrician,20 years experience overall,"Alwarpet,",Chennai,Motherhood Hospital,₹600,94%,10:00 AM - 8:00 PM,Morning,10.0
Dr. jayasudha k,General Physician,25 years experience overall,"T Nagar,",Chennai,Be Well Hospital,Free Consultation,,24x7,24x7,24.0
"Dr. RANJINI,",General Physician,15 years experience overall,"T Nagar,",Chennai,Be Well Hospital,Free Consultation,,8:00 AM - 4:00 PM,Morning,8.0
"Dr. DEEPAK CHAKRAVARTHY,",General Physician,9 years experience overall,"T Nagar,",Chennai,Be Well Hospital,Free Consultation,,10:00 AM - 8:00 PM,Morning,10.0
"Dr. ALLAN DEEPAK,",General Physician,10 years experience overall,"T Nagar,",Chennai,Be Well Hospital,Free Consultation,,9:00 AM - 6:00 PM,Morning,9.0
Dr. DEEPAK AVINASH,General Physician,12 years experience overall,"T Nagar,",Chennai,Be Well Hospital,Free Consultation,,10:00 AM - 8:00 PM,Morning,10.0
"Dr. DEEPAK ,",General Physician,10 years experience overall,"T Nagar,",Chennai,Be Well Hospital,Free Consultation,,9:00 AM - 6:00 PM,Morning,9.0
Dr. Dhanyan,Ear-Nose-Throat (ENT) Specialist,12 years experience overall,"T Nagar,",Chennai,Be Well Hospital,₹500,,9:00 AM - 6:00 PM,Morning,9.0
Dr. Ashokan,Orthopedist,24 years experience overall,"T Nagar,",Chennai,Be Well Hospital,Free Consultation,43%,24x7,24x7,24.0
Dr. V. Kamaraja,Anesthesiologist,34 years experience overall,"T Nagar,",Chennai,Be Well Hospital,₹400,,9:00 AM - 6:00 PM,Morning,9.0
Dr. Vignesh Raj,Ear-Nose-Throat (ENT) Specialist,12 years experience overall,"T Nagar,",Chennai,Be Well Hospital,₹500,,10:00 AM - 8:00 PM,Morning,10.0
Dr. M.R. Girinath,General Physician,62 years experience overall,"Greams Road,",Chennai,Apollo Hospital,₹1000,80%,9:00 AM - 6:00 PM,Morning,9.0
Dr. Prasanna Kumar Reddy,General Physician,56 years experience overall,"Greams Road,",Chennai,Apollo Hospital,₹1500,100%,24x7,24x7,24.0
Dr. Kumaravel T S,General Physician,52 years experience overall,"Greams Road,",Chennai,Apollo Hospital,₹1000,100%,9:00 AM - 6:00 PM,Morning,9.0
Dr. Subramony H,Internal Medicine,34 years experience overall,"Greams Road,",Chennai,Apollo Hospital,₹1500,100%,24x7,24x7,24.0
Dr. Joseph Thacil,General Physician,58 years experience overall,"Greams Road,",Chennai,Apollo Hospital,₹1000,75%,10:00 AM - 8:00 PM,Morning,10.0
Dr. Robert Mao,General Physician,49 years experience overall,"Greams Road,",Chennai,Apollo Hospital,₹1500,95%,10:00 AM - 8:00 PM,Morning,10.0
Dr. Rama Narasimhan,General Physician,29 years experience overall,"Greams Road,",Chennai,Apollo Hospital,₹500,69%,9:00 AM - 6:00 PM,Morning,9.0
Dr. Vijay Shankar S,General Physician,54 years experience overall,"Greams Road,",Chennai,Apollo Hospital,₹1000,100%,8:00 AM - 4:00 PM,Morning,8.0
Dr. S. Uma Chandran,General Physician,56 years experience overall,"Greams Road,",Chennai,Apollo Hospital,₹1500,100%,10:00 AM - 8:00 PM,Morning,10.0
Dr. Ramamoorthy N,General Physician,59 years experience overall,"Greams Road,",Chennai,Apollo Hospital,₹1000,,8:00 AM - 4:00 PM,Morning,8.0
Dr. Khader Hussain,General Physician,29 years experience overall,"Teynampet,",Chennai,Apollo Cancer Centres Chennai,₹1500,100%,24x7,24x7,24.0
Dr. Vincent Thamburaj,General Physician,50 years experience overall,"Teynampet,",Chennai,Apollo Cancer Centres Chennai,₹1500,100%,10:00 AM - 8:00 PM,Morning,10.0
Dr. Mohamed Zehran .S,General Physician,22 years experience overall,"Teynampet,",Chennai,Apollo Cancer Centres Chennai,₹1500,100%,9:00 AM - 6:00 PM,Morning,9.0
Dr. Shivaram Bharadhwaj,General Physician,40 years experience overall,"Teynampet,",Chennai,Apollo Cancer Centres Chennai,₹1500,100%,10:00 AM - 8:00 PM,Morning,10.0
Dr. Premkumar K,Gastroenterologist,20 years experience overall,"Teynampet,",Chennai,Apollo Cancer Centres Chennai,₹1000,80%,11:00 AM - 7:00 PM,Morning,8.0
Dr. Sanjay Chandrasekar,General Physician,33 years experience overall,"Teynampet,",Chennai,Apollo Cancer Centres Chennai,₹1500,100%,10:00 AM - 8:00 PM,Morning,10.0
Dr. Ramanan S G,General Physician,30 years experience overall,"Teynampet,",Chennai,Apollo Cancer Centres Chennai,₹1500,100%,8:00 AM - 4:00 PM,Morning,8.0
Dr. Vijayakumar G,General Physician,44 years experience overall,"Teynampet,",Chennai,Apollo Cancer Centres Chennai,₹1000,,9:00 AM - 6:00 PM,Morning,9.0
Dr. Mahadev P,Oncologist,37 years experience overall,"Teynampet,",Chennai,Apollo Cancer Centres Chennai,₹3000,100%,11:00 AM - 7:00 PM,Morning,8.0
Dr. Sowminarayanan R,General Physician,40 years experience overall,"Teynampet,",Chennai,Apollo Cancer Centres Chennai,₹1500,,24x7,24x7,24.0
Dr. jayasudha k,General Physician,25 years experience overall,"T Nagar,",Chennai,Be Well Hospital,Free Consultation,,24x7,24x7,24.0
"Dr. RANJINI,",General Physician,15 years experience overall,"T Nagar,",Chennai,Be Well Hospital,Free Consultation,,10:00 AM - 8:00 PM,Morning,10.0
