Doctor_Name,Specialization,Experience,Locality,City,Hospital_Name,Consultation_Fee,Recommendation,Working_Hours,Timing_Category,Time_Duration
"Dr. DEEPAK CHAKRAVARTHY,",General Physician,9 years experience overall,"T Nagar,",Chennai,Be Well Hospital,Free Consultation,,9:00 AM - 6:00 PM,Morning,9.0
"Dr. ALLAN DEEPAK,",General Physician,10 years experience overall,"T Nagar,",Chennai,Be Well Hospital,Free Consultation,,11:00 AM - 7:00 PM,Morning,8.0
Dr. DEEPAK AVINASH,General Physician,12 years experience overall,"T Nagar,",Chennai,Be Well Hospital,Free Consultation,,11:00 AM - 7:00 PM,Morning,8.0
"Dr. DEEPAK ,",General Physician,10 years experience overall,"T Nagar,",Chennai,Be Well Hospital,Free Consultation,,24x7,24x7,24.0
Dr. Dhanyan,Ear-Nose-Throat (ENT) Specialist,12 years experience overall,"T Nagar,",Chennai,Be Well Hospital,₹500,,10:00 AM - 8:00 PM,Morning,10.0
Dr. Ashokan,Orthopedist,24 years experience overall,"T Nagar,",Chennai,Be Well Hospital,Free Consultation,43%,10:00 AM - 8:00 PM,Morning,10.0
Dr. V. Kamaraja,Anesthesiologist,34 years experience overall,"T Nagar,",Chennai,Be Well Hospital,₹400,,10:00 AM - 8:00 PM,Morning,10.0
Dr. Vignesh Raj,Ear-Nose-Throat (ENT) Specialist,12 years experience overall,"T Nagar,",Chennai,Be Well Hospital,₹500,,10:00 AM - 8:00 PM,Morning,10.0
Dr. Yogishwar A V,Orthopedist,23 years experience overall,"Whitefield,",Bangalore,Manipal Hospital Varthur Road (formerly Columbia Asia Hospital),₹850,95%,24x7,24x7,24.0
Dr. Kiran Veerendra,Orthopedist,10 years experience overall,"Whitefield,",Bangalore,Manipal Hospital Varthur Road (formerly Columbia Asia Hospital),₹850,100%,24x7,24x7,24.0
Dr. Rajesh Srinivas,Orthopedist,15 years experience overall,"Whitefield,",Bangalore,Manipal Hospital Varthur Road (formerly Columbia Asia Hospital),₹850,82%,11:00 AM - 7:00 PM,Morning,8.0
Dr. Pavith Janardhan T,Orthopedist,12 years experience overall,"Whitefield,",Bangalore,Manipal Hospital Varthur Road (formerly Columbia Asia Hospital),₹850,,8:00 AM - 4:00 PM,Morning,8.0
Dr. Rajesh Srinivas,Orthopedist,28 years experience overall,"Whitefield,",Bangalore,Manipal Hospital Varthur Road (formerly Columbia Asia Hospital),₹850,,9:00 AM - 6:00 PM,Morning,9.0
Dr. Shivakumar Y S,Orthopedist,30 years experience overall,"Whitefield,",Bangalore,Manipal Hospital Varthur Road (formerly Columbia Asia Hospital),₹850,63%,8:00 AM - 4:00 PM,Morning,8.0
Dr. Dinesh Manni,Orthopedist,17 years experience overall,"Whitefield,",Bangalore,Manipal Hospital Varthur Road (formerly Columbia Asia Hospital),₹950,40%,9:00 AM - 6:00 PM,Morning,9.0
Dr. Nihal R Rai,Orthopedist,12 years experience overall,"Whitefield,",Bangalore,Manipal Hospital Varthur Road (formerly Columbia Asia Hospital),₹850,,11:00 AM - 7:00 PM,Morning,8.0
Dr. Divyatha Shekar,General Physician,19 years experience overall,"Yeshwanthpur,",Bangalore,Manipal Hospitals,₹950,100%,10:00 AM - 8:00 PM,Morning,10.0
Dr. Abdul Majid,General Physician,49 years experience overall,"Yeshwanthpur,",Bangalore,Manipal Hospitals,₹1000,94%,11:00 AM - 7:00 PM,Morning,8.0
Dr. Ravi Kumar V N,General Physician,28 years experience overall,"Yeshwanthpur,",Bangalore,Manipal Hospitals,₹950,100%,24x7,24x7,24.0
Dr. Sujatha S Ganagi,General Physician,26 years experience overall,"Yeshwanthpur,",Bangalore,Manipal Hospitals,₹950,,11:00 AM - 7:00 PM,Morning,8.0
Dr. Geetha Subramanyam K,General Physician,38 years experience overall,"Yeshwanthpur,",Bangalore,Manipal Hospitals,₹1000,100%,10:00 AM - 8:00 PM,Morning,10.0
Dr. Shafalika.S.B,Gynecologist/Obstetrician,23 years experience overall,"Yeshwanthpur,",Bangalore,Manipal Hospitals,₹950,100%,8:00 AM - 4:00 PM,Morning,8.0
Dr. Kiran Chowka,Orthopedist,20 years experience overall,"Yeshwanthpur,",Bangalore,Manipal Hospitals,₹950,93%,24x7,24x7,24.0
Dr. Anmol N,Spine Surgeon,12 years experience overall,"Yeshwanthpur,",Bangalore,Manipal Hospitals,₹1000,100%,11:00 AM - 7:00 PM,Morning,8.0
Dr. Sreenivasa Murthy T. M,Ear-Nose-Throat (ENT) Specialist,26 years experience overall,"Yeshwanthpur,",Bangalore,Manipal Hospitals,₹950,89%,9:00 AM - 6:00 PM,Morning,9.0
Dr. Sangeetha,Ophthalmologist,25 years experience overall,"Yeshwanthpur,",Bangalore,Manipal Hospitals,₹950,100%,10:00 AM - 8:00 PM,Morning,10.0
Dr. Tessie G Thoduka,General Physician,43 years experience overall,"Ramamurthy Nagar,",Bangalore,Koshys Hospital,₹650,92%,11:00 AM - 7:00 PM,Morning,8.0
Dr. Neehar Patil,General Physician,17 years experience overall,"Ramamurthy Nagar,",Bangalore,Koshys Hospital,₹1000,,9:00 AM - 6:00 PM,Morning,9.0
Dr. Jony Ranjan Varadi,General Physician,15 years experience overall,"Ramamurthy Nagar,",Bangalore,Koshys Hospital,₹1000,,11:00 AM - 7:00 PM,Morning,8.0
Dr. Manoharan B,General Physician,33 years experience overall,"Ramamurthy Nagar,",Bangalore,Koshys Hospital,₹650,,24x7,24x7,24.0
Dr. Maruthesh Gowda,Bariatric Surgeon,22 years experience overall,"Ramamurthy Nagar,",Bangalore,Koshys Hospital,₹650,95%,8:00 AM - 4:00 PM,Morning,8.0
Dr. Rani George,Ear-Nose-Throat (ENT) Specialist,29 years experience overall,"Ramamurthy Nagar,",Bangalore,Koshys Hospital,₹650,89%,9:00 AM - 6:00 PM,Morning,9.0
Dr. Santhosh Koshy,Pediatrician,35 years experience overall,"Ramamurthy Nagar,",Bangalore,Koshys Hospital,₹850,78%,9:00 AM - 6:00 PM,Morning,9.0
Dr. Bhubaneshwari Dalei,Gynecologist/Obstetrician,18 years experience overall,"Ramamurthy Nagar,",Bangalore,Koshys Hospital,₹650,,24x7,24x7,24.0
Dr. Shiva Kumar,Orthopedist,17 years experience overall,"Ramamurthy Nagar,",Bangalore,Koshys Hospital,₹650,75%,11:00 AM - 7:00 PM,Morning,8.0
Dr. Aravind S Kapali,General Surgeon,23 years experience overall,"Ramamurthy Nagar,",Bangalore,Koshys Hospital,₹1000,100%,10:00 AM - 8:00 PM,Morning,10.0
Dr. Pooja Balaji,General Physician,30 years experience overall,"Indiranagar,",Bangalore,Motherhood Hospital,₹800,88%,24x7,24x7,24.0
Dr. Priyamani,General Physician,25 years experience overall,"Indiranagar,",Bangalore,Motherhood Hospital,₹600,100%,11:00 AM - 7:00 PM,Morning,8.0
Dr. Vijay Kumar,General Physician,23 years experience overall,"Indiranagar,",Bangalore,Motherhood Hospital,₹500,91%,10:00 AM - 8:00 PM,Morning,10.0
Dr. Anitha Nathan,General Physician,22 years experience overall,"Indiranagar,",Bangalore,Motherhood Hospital,₹600,50%,24x7,24x7,24.0
Dr. Vijayalakshmi M,Gynecologist/Obstetrician,47 years experience overall,"Indiranagar,",Bangalore,Motherhood Hospital,₹800,96%,11:00 AM - 7:00 PM,Morning,8.0
Dr. Deepak V Rao,Gynecologist/Obstetrician,39 years experience overall,"Indiranagar,",Bangalore,Motherhood Hospital,₹800,96%,8:00 AM - 4:00 PM,Morning,8.0
Dr. A.C.Praveen Kumar,Gastroenterologist,34 years experience overall,"Indiranagar,",Bangalore,Motherhood Hospital,₹600,100%,9:00 AM - 6:00 PM,Morning,9.0
Dr. Priyanka Reddy,Infertility Specialist,15 years experience overall,"Indiranagar,",Bangalore,Motherhood Hospital,₹750,99%,10:00 AM - 8:00 PM,Morning,10.0
Dr. Suvarna Jyothi G,Gynecologist/Obstetrician,17 years experience overall,"Indiranagar,",Bangalore,Motherhood Hospital,₹800,98%,10:00 AM - 8:00 PM,Morning,10.0
Dr. Susheelamma,Gynecologist/Obstetrician,38 years experience overall,"Indiranagar,",Bangalore,Motherhood Hospital,₹800,94%,8:00 AM - 4:00 PM,Morning,8.0
Dr. Swati Shree,Infertility Specialist,12 years experience overall,"Whitefield,",Bangalore,Motherhood Hospital,₹950,93%,10:00 AM - 8:00 PM,Morning,10.0
Dr. Nirmala M,Gynecologist/Obstetrician,27 years experience overall,"Whitefield,",Bangalore,Motherhood Hospital,₹950,97%,11:00 AM - 7:00 PM,Morning,8.0
Dr. Anitha B.R,Gynecologist/Obstetrician,28 years experience overall,"Whitefield,",Bangalore,Motherhood Hospital,₹1000,91%,24x7,24x7,24.0
Dr. Teji Dawane,Gynecologist/Obstetrician,18 years experience overall,"Whitefield,",Bangalore,Motherhood Hospital,₹950,98%,24x7,24x7,24.0
Dr. Chetak.A.N,Pediatrician,20 years experience overall,"Whitefield,",Bangalore,Motherhood Hospital,₹950,91%,11:00 AM - 7:00 PM,Morning,8.0
Dr. Malini R S,Gynecologist/Obstetrician,21 years experience overall,"Whitefield,",Bangalore,Motherhood Hospital,₹950,95%,10:00 AM - 8:00 PM,Morning,10.0
Dr. Smitha D S,Gynecologist/Obstetrician,17 years experience overall,"Whitefield,",Bangalore,Motherhood Hospital,₹950,100%,8:00 AM - 4:00 PM,Morning,8.0
Dr. Manjunath Bhaskar Vernekar,Pediatrician,16 years experience overall,"Whitefield,",Bangalore,Motherhood Hospital,₹950,,9:00 AM - 6:00 PM,Morning,9.0
Dr. Madhusudhan Naidu,Gynecologist/Obstetrician,24 years experience overall,"Whitefield,",Bangalore,Motherhood Hospital,₹800,96%,9:00 AM - 6:00 PM,Morning,9.0
Dr. Ragunath.N,Anesthesiologist,23 years experience overall,"Whitefield,",Bangalore,Motherhood Hospital,₹950,,11:00 AM - 7:00 PM,Morning,8.0
Dr. Aravind G. M.,General Physician,27 years experience overall,"Jayanagar 9 Block,",Bangalore,Manipal Hospital,₹800,91%,8:00 AM - 4:00 PM,Morning,8.0
Dr. Mohan Badagandi,General Physician,51 years experience overall,"Jayanagar 9 Block,",Bangalore,Manipal Hospital,₹950,91%,8:00 AM - 4:00 PM,Morning,8.0
Dr. R Manjunath,Internal Medicine,37 years experience overall,"Jayanagar 9 Block,",Bangalore,Manipal Hospital,₹800,81%,24x7,24x7,24.0
Dr. Gunashree B,General Physician,8 years experience overall,"Jayanagar 9 Block,",Bangalore,Manipal Hospital,₹800,,10:00 AM - 8:00 PM,Morning,10.0
Dr. Sharat D Hegde,General Physician,24 years experience overall,"Jayanagar 9 Block,",Bangalore,Manipal Hospital,₹800,85%,24x7,24x7,24.0
Dr. Nagasubramanyam S,Urologist,42 years experience overall,"Jayanagar 9 Block,",Bangalore,Manipal Hospital,₹850,96%,11:00 AM - 7:00 PM,Morning,8.0
Dr. Vishal Lahoti,Endocrinologist,13 years experience overall,"Jayanagar 9 Block,",Bangalore,Manipal Hospital,₹950,91%,9:00 AM - 6:00 PM,Morning,9.0
Dr. Udaybhaskar M,Urologist,21 years experience overall,"Jayanagar 9 Block,",Bangalore,Manipal Hospital,₹850,75%,9:00 AM - 6:00 PM,Morning,9.0
Dr. Amarkishen Shetty,Gastroenterologist,37 years experience overall,"Jayanagar 9 Block,",Bangalore,Manipal Hospital,₹950,87%,8:00 AM - 4:00 PM,Morning,8.0
Dr. Mahendra Jain,Urologist,37 years experience overall,"Jayanagar 9 Block,",Bangalore,Manipal Hospital,₹850,82%,9:00 AM - 6:00 PM,Morning,9.0
Dr. Kamal Bhalla,Internal Medicine,29 years experience overall,"Banashankari,",Bangalore,Sagar Hospitals,₹700,85%,8:00 AM - 4:00 PM,Morning,8.0
Dr. Nikhil B,General Practitioner,17 years experience overall,"Banashankari,",Bangalore,Sagar Hospitals,₹1000,85%,10:00 AM - 8:00 PM,Morning,10.0
Dr. Chetana Govindaraju,General Physician,9 years experience overall,"Banashankari,",Bangalore,Sagar Hospitals,₹1000,,24x7,24x7,24.0
Dr. Channaraya V,General Physician,44 years experience overall,"Banashankari,",Bangalore,Sagar Hospitals,₹700,92%,11:00 AM - 7:00 PM,Morning,8.0
Dr. Kamimozhi Venkatesh G,General Physician,33 years experience overall,"Banashankari,",Bangalore,Sagar Hospitals,Free Consultation,,11:00 AM - 7:00 PM,Morning,8.0
Dr. Nikhita B Vadvadgi,General Physician,12 years experience overall,"Banashankari,",Bangalore,Sagar Hospitals,₹800,,9:00 AM - 6:00 PM,Morning,9.0
Dr. Kumar Parth,Gastroenterologist,22 years experience overall,"Banashankari,",Bangalore,Sagar Hospitals,₹1000,96%,10:00 AM - 8:00 PM,Morning,10.0
Dr. Poornachandra KS,Gastroenterologist,26 years experience overall,"Banashankari,",Bangalore,Sagar Hospitals,₹1000,95%,24x7,24x7,24.0
Dr. Arun L Naik,Neurosurgeon,26 years experience overall,"Banashankari,",Bangalore,Sagar Hospitals,₹1400,91%,9:00 AM - 6:00 PM,Morning,9.0
Dr. Savinay K S,Pediatrician,23 years experience overall,"Banashankari,",Bangalore,Sagar Hospitals,₹900,100%,8:00 AM - 4:00 PM,Morning,8.0
Dr. S.Sivamurugan,Orthopedist,45 years experience overall,"Anna Nagar,",Chennai,Soundarapandian Bone And Joint Hospital & Research Institute,₹1000,92%,9:00 AM - 6:00 PM,Morning,9.0
Dr. Ramkumar Ponraj,Orthopedist,15 years experience overall,"Anna Nagar,",Chennai,Soundarapandian Bone And Joint Hospital & Research Institute,₹500,100%,10:00 AM - 8:00 PM,Morning,10.0
Dr. Ravi Subramanian,Orthopedist,40 years experience overall,"Anna Nagar,",Chennai,Soundarapandian Bone And Joint Hospital & Research Institute,₹1000,82%,24x7,24x7,24.0
Dr. Ganesh Sivamurugan,Orthopedist,13 years experience overall,"Anna Nagar,",Chennai,Soundarapandian Bone And Joint Hospital & Research Institute,₹1000,100%,10:00 AM - 8:00 PM,Morning,10.0
Dr. A R Ramaswamy,Orthopedist,14 years experience overall,"Anna Nagar,",Chennai,Soundarapandian Bone And Joint Hospital & Research Institute,₹500,,24x7,24x7,24.0
Dr. Suranjana Ravi,Orthopedist,14 years experience overall,"Anna Nagar,",Chennai,Soundarapandian Bone And Joint Hospital & Research Institute,₹1000,,8:00 AM - 4:00 PM,Morning,8.0
Dr. Rameshwar Gutte,Dermatologist,22 years experience overall,"Powai,",Mumbai,Dr L H Hiranandani Hospital,₹1300,96%,10:00 AM - 8:00 PM,Morning,10.0
Dr. Shashank Shah,Laparoscopic Surgeon,37 years experience overall,"Powai,",Mumbai,Dr L H Hiranandani Hospital,Free Consultation,96%,11:00 AM - 7:00 PM,Morning,8.0
Dr. Ashish Vijay Bakshi,Oncologist,31 years experience overall,"Powai,",Mumbai,Dr L H Hiranandani Hospital,₹1600,69%,24x7,24x7,24.0
Dr. Swarup Pal,Vascular Surgeon,20 years experience overall,"Powai,",Mumbai,Dr L H Hiranandani Hospital,₹2600,100%,8:00 AM - 4:00 PM,Morning,8.0
Dr. Gitika Sanodia,Dermatologist,13 years experience overall,"Powai,",Mumbai,Dr L H Hiranandani Hospital,₹1200,94%,9:00 AM - 6:00 PM,Morning,9.0
Dr. Nikhil N Nale (Physiotherapist),Physiotherapist,11 years experience overall,"Powai,",Mumbai,Dr L H Hiranandani Hospital,Free Consultation,100%,24x7,24x7,24.0
Ms. Komal L Renuke,Audiologist,18 years experience overall,"Powai,",Mumbai,Dr L H Hiranandani Hospital,₹1100,43%,8:00 AM - 4:00 PM,Morning,8.0
Ms. Vidya Rao Karane,Physiotherapist,16 years experience overall,"Powai,",Mumbai,Dr L H Hiranandani Hospital,₹530,,10:00 AM - 8:00 PM,Morning,10.0
Dr. Divya Mishra,Speech Therapist,18 years experience overall,"Powai,",Mumbai,Dr L H Hiranandani Hospital,₹500,100%,8:00 AM - 4:00 PM,Morning,8.0
Dr. Roli Dave (Physiotherapist),Physiotherapist,28 years experience overall,"Powai,",Mumbai,Dr L H Hiranandani Hospital,₹530,,8:00 AM - 4:00 PM,Morning,8.0
Dr. Sonal Anand,Psychiatrist,29 years experience overall,"Mira Road,",Mumbai,Wockhardt Hospitals (formerly known as Umrao Hospital),₹1200,92%,8:00 AM - 4:00 PM,Morning,8.0
Dr. Caroline Simon,Pulmonologist,18 years experience overall,"Mira Road,",Mumbai,Wockhardt Hospitals (formerly known as Umrao Hospital),₹1000,100%,11:00 AM - 7:00 PM,Morning,8.0
Dr. Chinmay Sanghavi,Ophthalmologist,11 years experience overall,"Mira Road,",Mumbai,Wockhardt Hospitals (formerly known as Umrao Hospital),₹1000,,24x7,24x7,24.0
Dr. Kamleshkumar Pandey,Pulmonologist,19 years experience overall,"Mira Road,",Mumbai,Wockhardt Hospitals (formerly known as Umrao Hospital),₹1200,96%,9:00 AM - 6:00 PM,Morning,9.0
Dr. Shraddha Deshpande,Plastic Surgeon,19 years experience overall,"Mira Road,",Mumbai,Wockhardt Hospitals (formerly known as Umrao Hospital),₹1000,100%,10:00 AM - 8:00 PM,Morning,10.0
Dr. Anjana Gala,Dermatologist,32 years experience overall,"Mira Road,",Mumbai,Wockhardt Hospitals (formerly known as Umrao Hospital),₹1000,,24x7,24x7,24.0
Dr. Jinendra K Jain,General Physician,24 years experience overall,"Mira Road,",Mumbai,Wockhardt Hospitals (formerly known as Umrao Hospital),₹1000,74%,9:00 AM - 6:00 PM,Morning,9.0
Dr. Aditi Agrawal,General Surgeon,21 years experience overall,"Mira Road,",Mumbai,Wockhardt Hospitals (formerly known as Umrao Hospital),₹1000,96%,8:00 AM - 4:00 PM,Morning,8.0
Dr. Prakash L Tejwani,Urologist,22 years experience overall,"Mira Road,",Mumbai,Wockhardt Hospitals (formerly known as Umrao Hospital),₹1200,96%,11:00 AM - 7:00 PM,Morning,8.0
Dr. Imran Shaikh,GastroIntestinal Surgeon,28 years experience overall,"Mira Road,",Mumbai,Wockhardt Hospitals (formerly known as Umrao Hospital),₹1500,100%,11:00 AM - 7:00 PM,Morning,8.0
Dr. GHONGANE (MRS) MEENA ARVIND,General Physician,31 years experience overall,"Malad West,",Mumbai,Cloudnine Hospital,Free Consultation,,10:00 AM - 8:00 PM,Morning,10.0
Dr. Nikhil D Datar,Gynecologist/Obstetrician,35 years experience overall,"Malad West,",Mumbai,Cloudnine Hospital,₹1600,99%,10:00 AM - 8:00 PM,Morning,10.0
Dr. Rajshree Murudkar,General Surgeon,29 years experience overall,"Malad West,",Mumbai,Cloudnine Hospital,₹1100,99%,11:00 AM - 7:00 PM,Morning,8.0
Dr. Tanushri Mukherjee,Pediatrician,20 years experience overall,"Malad West,",Mumbai,Cloudnine Hospital,₹1300,92%,9:00 AM - 6:00 PM,Morning,9.0
Dr. Ritu Hinduja,Infertility Specialist,21 years experience overall,"Malad West,",Mumbai,Cloudnine Hospital,₹1000,80%,10:00 AM - 8:00 PM,Morning,10.0
Dr. Vibha Arora,Gynecologist/Obstetrician,25 years experience overall,"Malad West,",Mumbai,Cloudnine Hospital,₹1600,97%,10:00 AM - 8:00 PM,Morning,10.0
Dr. Veena G. Shinde,Gynecologist/Obstetrician,37 years experience overall,"Malad West,",Mumbai,Cloudnine Hospital,₹1600,93%,8:00 AM - 4:00 PM,Morning,8.0
Dr. Shreyansh Prasad Patil,Pediatrician,11 years experience overall,"Malad West,",Mumbai,Cloudnine Hospital,₹1100,,24x7,24x7,24.0
Dr. Mansi Verma,Gynecologist/Obstetrician,13 years experience overall,"Malad West,",Mumbai,Cloudnine Hospital,₹1500,100%,24x7,24x7,24.0
Dr. Anuja Tiwari,Gynecologist/Obstetrician,21 years experience overall,"Malad West,",Mumbai,Cloudnine Hospital,₹1000,,8:00 AM - 4:00 PM,Morning,8.0
Dr. Balakrishna GK,Internal Medicine,40 years experience overall,"Kengeri,",Bangalore,Gleneagles Hospitals,₹400,85%,9:00 AM - 6:00 PM,Morning,9.0
Dr. Srinath A,Endocrinologist,33 years experience overall,"Kengeri,",Bangalore,Gleneagles Hospitals,₹700,90%,24x7,24x7,24.0
Dr. Deepesh Venkatraman,Cardiologist,20 years experience overall,"Kengeri,",Bangalore,Gleneagles Hospitals,₹600,100%,9:00 AM - 6:00 PM,Morning,9.0
Dr. Adarsh C K,Gastroenterologist,23 years experience overall,"Kengeri,",Bangalore,Gleneagles Hospitals,₹800,98%,24x7,24x7,24.0
Dr. Mathangi J,Oncologist,28 years experience overall,"Kengeri,",Bangalore,Gleneagles Hospitals,₹800,100%,11:00 AM - 7:00 PM,Morning,8.0
Dr. Nagesh Basavaraj,Cardiac Surgeon,27 years experience overall,"Kengeri,",Bangalore,Gleneagles Hospitals,₹700,100%,8:00 AM - 4:00 PM,Morning,8.0
Dr. Ravikeerthy M,Internal Medicine,30 years experience overall,"Kengeri,",Bangalore,Gleneagles Hospitals,₹400,85%,9:00 AM - 6:00 PM,Morning,9.0
Dr. Rajeev Vijayakumar,Oncologist,21 years experience overall,"Kengeri,",Bangalore,Gleneagles Hospitals,₹900,100%,9:00 AM - 6:00 PM,Morning,9.0
Dr. Naveen M A,Neurosurgeon,18 years experience overall,"Kengeri,",Bangalore,Gleneagles Hospitals,₹700,75%,8:00 AM - 4:00 PM,Morning,8.0
Dr. Govind E,Internal Medicine,21 years experience overall,"Kengeri,",Bangalore,Gleneagles Hospitals,₹900,,10:00 AM - 8:00 PM,Morning,10.0
Dr. Vishal Kaura Aggarwal,Internal Medicine,29 years experience overall,"Pusa Road,",Delhi,BLK-Max Super Speciality Hospital,₹1600,89%,11:00 AM - 7:00 PM,Morning,8.0
Dr. Ashok Kumar Jhingan,Internal Medicine,42 years experience overall,"Pusa Road,",Delhi,BLK-Max Super Speciality Hospital,₹1500,92%,9:00 AM - 6:00 PM,Morning,9.0
Dr. Anil Vardani,Internal Medicine,40 years experience overall,"Pusa Road,",Delhi,BLK-Max Super Speciality Hospital,₹2000,87%,11:00 AM - 7:00 PM,Morning,8.0
Dr. Jeevanjyot Bahia,General Physician,34 years experience overall,"Pusa Road,",Delhi,BLK-Max Super Speciality Hospital,₹800,90%,8:00 AM - 4:00 PM,Morning,8.0
Dr. Rajinder Kumar Singal,Internal Medicine,44 years experience overall,"Pusa Road,",Delhi,BLK-Max Super Speciality Hospital,₹2000,79%,10:00 AM - 8:00 PM,Morning,10.0
Dr. Pranjal Kulshreshtha,General Physician,23 years experience overall,"Pusa Road,",Delhi,BLK-Max Super Speciality Hospital,₹2000,,8:00 AM - 4:00 PM,Morning,8.0
Dr. Atul Bhasin,General Physician,35 years experience overall,"Pusa Road,",Delhi,BLK-Max Super Speciality Hospital,₹2000,67%,24x7,24x7,24.0
Dr. Deepak Gargi Pande,General Physician,30 years experience overall,"Pusa Road,",Delhi,BLK-Max Super Speciality Hospital,₹2000,80%,10:00 AM - 8:00 PM,Morning,10.0
Dr. N.M. Agarwal,Internal Medicine,41 years experience overall,"Pusa Road,",Delhi,BLK-Max Super Speciality Hospital,₹2000,50%,24x7,24x7,24.0
Dr. Pramod Pasari,General Physician,19 years experience overall,"Pusa Road,",Delhi,BLK-Max Super Speciality Hospital,₹1000,100%,8:00 AM - 4:00 PM,Morning,8.0
Dr. Paras Agarwal,,19 years experience overall,"Panchsheel Park,",Delhi,Max Multi Speciality Centre,₹1200,97%,24x7,24x7,24.0
Dr. Rajendra Kumar Agarwal,Cardiologist,27 years experience overall,"Panchsheel Park,",Delhi,Max Multi Speciality Centre,₹1000,100%,9:00 AM - 6:00 PM,Morning,9.0
Dr. Charu Mithal,Ophthalmologist,25 years experience overall,"Panchsheel Park,",Delhi,Max Multi Speciality Centre,₹1000,83%,9:00 AM - 6:00 PM,Morning,9.0
Dr. Rahul Naithani,Hematologist,25 years experience overall,"Panchsheel Park,",Delhi,Max Multi Speciality Centre,₹500,45%,9:00 AM - 6:00 PM,Morning,9.0
Dr. Surabhi Dutt,Ophthalmologist,20 years experience overall,"Panchsheel Park,",Delhi,Max Multi Speciality Centre,Free Consultation,77%,10:00 AM - 8:00 PM,Morning,10.0
Dr. Rahul Mehrotra,Cardiologist,28 years experience overall,"Panchsheel Park,",Delhi,Max Multi Speciality Centre,₹1000,100%,24x7,24x7,24.0
Dr. Himanshu Shekhar,General Physician,20 years experience overall,"Greater Kailash Part 1,",Delhi,SCI International Hospital,₹1000,82%,11:00 AM - 7:00 PM,Morning,8.0
Dr. Ruchi Tandon,Gynecologist/Obstetrician,21 years experience overall,"Greater Kailash Part 1,",Delhi,SCI International Hospital,₹1000,84%,8:00 AM - 4:00 PM,Morning,8.0
